Timestamp,Exercise,Energy,Focus,Sleep,Phone,Study
2026/03/27 2:19:00 PM GMT+2,3-4,9,8,6-7,4-6,1-2 hrs
2026/03/27 2:19:55 PM GMT+2,5+,7,4,7-8,4-6,less than 1 hr
2026/03/27 2:23:50 PM GMT+2,0,5,3,5-6,4-6,5-6 hrs
2026/03/27 2:23:59 PM GMT+2,1-2,8,6,8+,less than 2,5-6 hrs
2026/03/27 2:26:05 PM GMT+2,1-2,8,4,6-7,less than 2,1-2 hrs
2026/03/27 2:27:59 PM GMT+2,1-2,3,7,5-6,4-6,3-4 hrs
2026/03/27 2:28:19 PM GMT+2,0,4,1,8+,6+,less than 1 hr
2026/03/27 2:28:42 PM GMT+2,3-4,8,3,6-7,2-4,less than 1 hr
2026/03/27 2:29:38 PM GMT+2,0,1,3,8+,6+,less than 1 hr
2026/03/27 2:30:23 PM GMT+2,3-4,7,3,6-7,4-6,3-4 hrs
2026/03/27 2:30:31 PM GMT+2,3-4,7,6,8+,6+,5-6 hrs
2026/03/27 2:31:04 PM GMT+2,5+,8,6,6-7,2-4,3-4 hrs
2026/03/27 2:31:42 PM GMT+2,1-2,3,5,7-8,4-6,3-4 hrs
2026/03/27 2:31:50 PM GMT+2,1-2,4,5,6-7,6+,3-4 hrs
2026/03/27 2:33:18 PM GMT+2,3-4,4,4,8+,6+,3-4 hrs
2026/03/27 2:34:26 PM GMT+2,1-2,4,7,8+,4-6,3-4 hrs
2026/03/27 2:34:57 PM GMT+2,3-4,7,8,7-8,4-6,6+ hrs
2026/03/27 2:35:53 PM GMT+2,0,7,9,7-8,6+,3-4 hrs
2026/03/27 2:35:55 PM GMT+2,5+,5,4,less than 5,4-6,less than 1 hr
2026/03/27 2:36:43 PM GMT+2,5+,9,7,6-7,6+,3-4 hrs
2026/03/27 2:37:03 PM GMT+2,3-4,5,5,5-6,4-6,1-2 hrs
2026/03/27 2:38:05 PM GMT+2,1-2,7,3,5-6,6+,1-2 hrs
2026/03/27 2:38:07 PM GMT+2,5+,7,4,7-8,4-6,less than 1 hr
2026/03/27 2:38:28 PM GMT+2,5+,7,5,6-7,4-6,less than 1 hr
2026/03/27 2:43:36 PM GMT+2,0,3,8,8+,4-6,5-6 hrs
2026/03/27 2:44:54 PM GMT+2,0,7,3,8+,6+,less than 1 hr
2026/03/27 2:45:39 PM GMT+2,5+,8,5,7-8,2-4,1-2 hrs
2026/03/27 2:45:47 PM GMT+2,1-2,7,7,5-6,less than 2,3-4 hrs
2026/03/27 2:46:46 PM GMT+2,5+,7,7,6-7,2-4,1-2 hrs
2026/03/27 2:47:31 PM GMT+2,1-2,5,4,6-7,6+,1-2 hrs
2026/03/27 2:52:33 PM GMT+2,3-4,6,6,5-6,2-4,5-6 hrs
2026/03/27 3:00:09 PM GMT+2,1-2,6,6,6-7,6+,5-6 hrs
2026/03/27 3:08:07 PM GMT+2,1-2,5,3,8+,4-6,1-2 hrs
2026/03/27 3:08:43 PM GMT+2,3-4,9,8,7-8,2-4,1-2 hrs
2026/03/27 3:11:19 PM GMT+2,1-2,5,8,6-7,2-4,1-2 hrs
2026/03/27 3:16:26 PM GMT+2,0,5,5,6-7,2-4,1-2 hrs
2026/03/27 3:23:51 PM GMT+2,3-4,7,5,less than 5,6+,3-4 hrs
2026/03/27 3:27:38 PM GMT+2,3-4,8,8,6-7,6+,3-4 hrs
2026/03/27 3:34:56 PM GMT+2,1-2,7,7,5-6,2-4,3-4 hrs
2026/03/27 3:39:40 PM GMT+2,3-4,8,6,8+,6+,5-6 hrs
2026/03/27 3:44:40 PM GMT+2,3-4,4,7,6-7,2-4,3-4 hrs
2026/03/27 3:50:33 PM GMT+2,0,4,7,7-8,2-4,less than 1 hr
2026/03/27 3:58:36 PM GMT+2,1-2,6,7,6-7,4-6,1-2 hrs
2026/03/27 4:00:45 PM GMT+2,3-4,6,5,7-8,2-4,less than 1 hr
2026/03/27 4:02:16 PM GMT+2,5+,1,1,less than 5,6+,1-2 hrs
2026/03/27 4:08:15 PM GMT+2,1-2,3,4,7-8,4-6,3-4 hrs
2026/03/27 4:14:30 PM GMT+2,1-2,6,6,7-8,2-4,3-4 hrs
2026/03/27 4:16:35 PM GMT+2,1-2,5,6,7-8,4-6,less than 1 hr
2026/03/27 4:17:43 PM GMT+2,0,6,8,8+,6+,1-2 hrs
2026/03/27 4:28:20 PM GMT+2,0,2,6,5-6,4-6,1-2 hrs
2026/03/27 4:29:13 PM GMT+2,0,4,3,7-8,4-6,3-4 hrs
2026/03/27 4:47:26 PM GMT+2,3-4,5,8,5-6,less than 2,3-4 hrs
2026/03/27 5:03:53 PM GMT+2,0,1,2,6-7,6+,less than 1 hr
2026/03/27 5:09:25 PM GMT+2,3-4,8,7,less than 5,4-6,1-2 hrs
2026/03/27 5:11:22 PM GMT+2,5+,8,5,7-8,4-6,1-2 hrs
2026/03/27 5:20:36 PM GMT+2,3-4,6,7,5-6,less than 2,1-2 hrs
2026/03/27 5:33:35 PM GMT+2,5+,6,6,6-7,4-6,1-2 hrs
2026/03/27 5:41:39 PM GMT+2,1-2,8,7,7-8,2-4,1-2 hrs
2026/03/27 5:48:31 PM GMT+2,3-4,7,6,6-7,2-4,5-6 hrs
2026/03/27 6:08:30 PM GMT+2,3-4,7,6,6-7,4-6,less than 1 hr
2026/03/27 6:52:40 PM GMT+2,5+,8,5,7-8,4-6,1-2 hrs
2026/03/27 6:52:55 PM GMT+2,5+,6,3,6-7,6+,1-2 hrs
2026/03/27 6:54:47 PM GMT+2,1-2,5,4,6-7,2-4,1-2 hrs
2026/03/27 6:56:11 PM GMT+2,3-4,4,6,5-6,4-6,3-4 hrs
2026/03/27 6:57:04 PM GMT+2,5+,5,6,5-6,6+,1-2 hrs
2026/03/27 7:11:08 PM GMT+2,3-4,8,8,8+,4-6,1-2 hrs
2026/03/27 7:38:10 PM GMT+2,0,2,3,5-6,4-6,1-2 hrs
2026/03/27 8:18:06 PM GMT+2,1-2,5,9,5-6,4-6,less than 1 hr
2026/03/27 9:06:18 PM GMT+2,5+,5,7,6-7,6+,6+ hrs
2026/03/28 11:43:45 AM GMT+2,1-2,7,8,6-7,2-4,less than 1 hr
